id,smell,attempts_used,patch_mode,patch_status,build_status,diff_status,added,removed,geometryChanges,styleChanges,orderChanges,commit_hash
ex01,Large Component,3,none,PATCH_FAILED,SKIPPED,SKIPPED,,,,,,
ex02,Large Component,3,none,PATCH_FAILED,SKIPPED,SKIPPED,,,,,,
ex03,Large Component,0,none,CHECKOUT_BEFORE_FAILED,SKIPPED,SKIPPED,,,,,,
ex04,Duplicated Code,3,none,PATCH_FAILED,SKIPPED,SKIPPED,,,,,,
ex05,Duplicated Code,3,none,PATCH_FAILED,SKIPPED,SKIPPED,,,,,,
ex06,Duplicated Code,3,none,PATCH_FAILED,SKIPPED,SKIPPED,,,,,,
ex07,Too Many Props,3,none,PATCH_FAILED,SKIPPED,SKIPPED,,,,,,
ex08,Too Many Props,3,none,PATCH_FAILED,SKIPPED,SKIPPED,,,,,,
ex09,Too Many Props,3,none,PATCH_FAILED,SKIPPED,SKIPPED,,,,,,
ex10,Prop Drilling,3,none,PATCH_FAILED,SKIPPED,SKIPPED,,,,,,
ex11,Prop Drilling,3,none,PATCH_FAILED,SKIPPED,SKIPPED,,,,,,
ex12,Prop Drilling,0,none,CHECKOUT_BEFORE_FAILED,SKIPPED,SKIPPED,,,,,,
ex13,Inline Logic in Render,3,none,PATCH_FAILED,SKIPPED,SKIPPED,,,,,,
ex14,Inline Logic in Render,3,none,PATCH_FAILED,SKIPPED,SKIPPED,,,,,,
ex15,Inline Logic in Render,3,none,PATCH_FAILED,SKIPPED,SKIPPED,,,,,,
